Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_33_728.jpg;-15;0;0;0;99.66999;85.58897;0.0002341258;39.04311;4.672113E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_33_784.jpg;-15;0;0;0;99.66999;85.58897;0.0002335505;36.34315;4.833681E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_33_840.jpg;-15;0;0;0;99.66999;85.58897;0.0002338582;34.5432;4.883764E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_33_895.jpg;-15;0;0;0;99.66999;85.58897;0.0002340918;31.84323;4.946126E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_33_950.jpg;-15;0;0;0;99.66999;85.58897;0.0002353671;29.1432;4.888442E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_005.jpg;-15;0;0;0;99.66999;85.58897;0.0002369829;26.44321;4.77597E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_059.jpg;-15;0;0;0;99.66999;85.58897;0.0002385433;24.64322;4.651078E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_115.jpg;-15;0;0;0;99.66999;85.58897;0.0002414496;21.94324;4.443418E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_170.jpg;-15;0;0;0;99.66999;85.58897;0.0002436897;19.24326;4.162802E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_224.jpg;-15;0;0;0;99.67;85.58897;0.0002470273;16.5433;3.798043E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_279.jpg;-15;0;0;0;99.67;85.58897;0.0002497493;14.74332;3.594819E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_333.jpg;-15;0;0;0;99.67;85.58897;0.0002535195;12.0434;3.298414E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_403.jpg;-15;0;0;0;99.67;85.58897;0.0002574516;8.443436;2.700255E-05
C:\Users\Antarctican\Desktop\udacity-robotics\01-search-and-sample-return\RoboND-Rover-Project\my-rover-data\IMG\robocam_2017_06_29_08_05_34_470.jpg;-15;0;0;0;99.67;85.58897;0.0002593638;5.743416;2.233531E-05
